Name,Isaac Benton,Brad Winter,Ken Sanchez,Klarissa J. Pena,Dan Lewis,Patrick Davis,Diane G. Gibson,Trudy E. Jones,Don Harris,Cynthia D. Borrego
District,,,,,,,,,,
Years_Active,[],[],[],[],[],[],[],[],[],[]
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151713&GUID=54FF075E-8F3A-4A6A-91DB-D2CEEB940F72|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16665990&GUID=DFEB55B0-3F06-4EDD-9F3D-16A2A8699100|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14151857&GUID=5B4FB8A7-1CEB-480D-85C2-6878548AB996|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14057655&GUID=7BCDA3A1-72BB-4FBC-8461-477D857B1D8E|Excused,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14057655&GUID=7BCDA3A1-72BB-4FBC-8461-477D857B1D8E|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14057655&GUID=7BCDA3A1-72BB-4FBC-8461-477D857B1D8E|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320332&GUID=21D4BEE8-D46D-4E8B-BE85-53580673A1F4|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14057655&GUID=7BCDA3A1-72BB-4FBC-8461-477D857B1D8E|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14057655&GUID=7BCDA3A1-72BB-4FBC-8461-477D857B1D8E|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14057655&GUID=7BCDA3A1-72BB-4FBC-8461-477D857B1D8E|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651183&GUID=26FEF73C-6215-4B0D-AA17-2A4D9DAFE4E4|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17797052&GUID=473E30C9-BB5B-4E5D-A06A-3F1A18D944E6|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=13183563&GUID=42392BC3-3E47-4BBA-80C2-DF3F75CF3E36|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=15789341&GUID=5F1C05FE-F5E1-427B-8AF0-AAC5C6303544|Excused,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651182&GUID=76428CAA-98F2-494A-9CC3-B75E203A65DF|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17087958&GUID=45D6A2E9-3336-47B8-BC29-9E21E90BEB33|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Dan Lewis|https://cabq.legistar.com/HistoryDetail.aspx?ID=13651063&GUID=3BD2F4AE-CBF1-46BF-BC4A-BBF5EC891196|For,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14948431&GUID=905E96B9-5E1A-46EC-AF11-77B89E40BEA8|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=15333539&GUID=8743B1B3-534E-468F-8948-A51F79079940|Excused,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|Excused,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|Excused,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=15231888&GUID=BA8B1925-ED00-49CF-8937-E5AA98CACA01|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=14320299&GUID=48C3350C-294F-4FB6-A505-A4EC6B3C7F53|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=14210562&GUID=971A7F46-B67A-48A8-975B-28D7BD1259C4|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=17261638&GUID=B1DBC2E1-1631-4C1B-830E-54E1997025FB|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|Excused,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=16454593&GUID=4D480E32-9F78-435C-8FFB-77B78AC03799|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=14989090&GUID=4E274FD6-5163-4875-A900-F15E2A2B5A47|For
,Isaac Benton|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Brad Winter|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Ken Sanchez|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Klarissa J. Pena|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,,Patrick Davis|https://cabq.legistar.com/HistoryDetail.aspx?ID=17301991&GUID=35CB0463-D06C-4892-87FE-B8FCD9B30B52|For,Diane G. Gibson|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284794&GUID=A53A46E0-EAC7-410E-A1A3-91CA9E156DCD|For,Trudy E. Jones|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Don Harris|https://cabq.legistar.com/HistoryDetail.aspx?ID=17284795&GUID=29D2CAAD-02F5-4537-88D8-F414842F0923|For,Cynthia D. Borrego|https://cabq.legistar.com/HistoryDetail.aspx?ID=16718442&GUID=A033B98F-EB2C-45EE-B02C-5B8158CB8BA1|For
